"File Name","Disc. Method","Accuracy","Std","G-Measure","Std"
"newAbalone.arff","None","0.4808791208791209","0.01105968599628212","0.5012839869778296","0.0030746670635175303"
"newAbalone.arff","Same Width","0.5405128205128205","0.008342735383466002","0.5369224060473358","0.001690582456040853"
"newAbalone.arff","Same Frequency","0.5398534798534799","0.011193995688652664","0.5345597114089348","0.0032816574298459317"
"newAbalone.arff","Min. Entropy","0.5398534798534799","0.008032960668483418","0.5375257292727753","0.0022625134126077963"
"bupa.arff","None","0.5478260869565218","0.052522573143889015","0.5328989302448017","0.03028712024208406"
"bupa.arff","Same Width","0.5872463768115942","0.03743509400803001","0.4946562787860372","0.039444722778307864"
"bupa.arff","Same Frequency","0.5785507246376812","0.03170272363769839","0.5021659160536248","0.018738994601300612"
"bupa.arff","Min. Entropy","0.5797101449275364","0.0476462932786433","0.5043161970397216","0.007805609931132471"
"pima.arff","None","0.7467447916666666","0.023528991086757295","0.6929707773078865","0.007727140651044604"
"pima.arff","Same Width","0.7287760416666667","0.01646717870074981","0.679963612767632","0.004058122279452215"
"pima.arff","Same Frequency","0.7279947916666667","0.0201408982959664","0.6741321044851014","0.006354239568254159"
"pima.arff","Min. Entropy","0.7240885416666667","0.03030083547713541","0.6898323203773843","0.02031716025345877"
"Ionosphere.arff","None","0.6410256410256411","0.0","0.6121610719039267","0.11605227366374017"
"Ionosphere.arff","Same Width","0.7780626780626784","0.0437822378517609","0.7700902475091387","0.012597074585112245"
"Ionosphere.arff","Same Frequency","0.768660968660969","0.05520569669927272","0.7809551535743466","0.010703739311690977"
"Ionosphere.arff","Min. Entropy","0.7689458689458691","0.058465508201670534","0.7782817581078152","0.016711592874839944"
"ecoli_replacedName.arff","None","0.35634218289085556","0.14404973632797882","0.0","0.0"
"ecoli_replacedName.arff","Same Width","0.41445427728613576","0.03593454965580039","0.29381258869783394","0.02397712145486773"
"ecoli_replacedName.arff","Same Frequency","0.40294985250737464","0.05348921277471687","0.27586911122756397","0.03946260928231316"
"ecoli_replacedName.arff","Min. Entropy","0.4017699115044248","0.046746650117343844","0.2603078382177883","0.02524103483322088"
"wine_classLast.arff","None","0.9180790960451977","0.031183941827229708","0.9108848401660078","0.01110437409264098"
"wine_classLast.arff","Same Width","0.9220338983050844","0.02618195286294059","0.9082125207236006","0.006969805803224124"
"wine_classLast.arff","Same Frequency","0.9338983050847456","0.02720252952314868","0.9194393463515992","0.004303597177030891"
"wine_classLast.arff","Min. Entropy","0.9254237288135592","0.025800826952792785","0.920594331180295","0.006379723876341734"
"ImageSegmentation_classFirst.arff","None","0.7035087719298247","0.03485250866811518","0.5664101128078657","0.005372046760961904"
"ImageSegmentation_classFirst.arff","Same Width","0.7728070175438597","0.04072917698566669","0.6134025098784175","0.006115398450807683"
"ImageSegmentation_classFirst.arff","Same Frequency","0.7850877192982455","0.03989989703046861","0.6289467442449274","0.004329052892059116"
"ImageSegmentation_classFirst.arff","Min. Entropy","0.7864035087719299","0.05051120526722442","0.6301598176513653","0.00538882161652135"
"glass.arff","None","0.24761904761904763","0.10823472117331032","0.06201506978238542","0.02400146301982773"
"glass.arff","Same Width","0.49","0.031197087505483116","0.0","0.0"
"glass.arff","Same Frequency","0.4971428571428571","0.04982728791224397","0.0","0.0"
"glass.arff","Min. Entropy","0.48619047619047623","0.04151991515460052","0.0","0.0"
"appendicitis.arff","None","0.7101851851851854","0.205900008246166","0.44670344192958056","0.09509454178859857"
"appendicitis.arff","Same Width","0.7907407407407406","0.05959158095322847","0.7771814587266417","0.021631145713682038"
"appendicitis.arff","Same Frequency","0.800925925925926","0.046756967307231855","0.7851969638995667","0.014061794231133533"
"appendicitis.arff","Min. Entropy","0.8111111111111113","0.05429606804856379","0.8140779531399908","0.010508490215133824"
"balance.arff","None","0.8992063492063491","0.013415378194094957","0.9005490598530491","0.0018514171718651733"
"balance.arff","Same Width","0.806984126984127","0.014782460043073549","0.8060201861514209","0.0032999757451636275"
"balance.arff","Same Frequency","0.8115873015873017","0.01680953698922314","0.8106813076704477","0.004410241310604728"
"balance.arff","Min. Entropy","0.8060317460317461","0.017414978203920965","0.802344058815437","0.00424458068220147"
"ecoli.arff","None","0.703244837758112","0.03429256859879274","0.5617946118920935","0.01022447689473041"
"ecoli.arff","Same Width","0.49911504424778763","0.02926773720776256","0.24752942524718563","0.02445733487194679"
"ecoli.arff","Same Frequency","0.5017699115044248","0.0264109948575139","0.21687999883098408","0.020857475579468508"
"ecoli.arff","Min. Entropy","0.5014749262536874","0.03370478860922871","0.23989185270454605","0.010240228617308207"
"haberman.arff","None","0.7320261437908496","0.02032712711531259","0.43476304417115813","0.02335477469522923"
"haberman.arff","Same Width","0.7205882352941178","0.014957283168106105","0.27219924746490504","0.017176341728203533"
"haberman.arff","Same Frequency","0.730392156862745","0.012808652069285088","0.2935256941437293","0.03813215030739183"
"haberman.arff","Min. Entropy","0.7264705882352941","0.01655593009795014","0.28170361631615365","0.01928657064552262"
"hayes-roth.arff","None","0.49030303030303024","0.07137989086028888","0.30590207159299254","0.030352781522174646"
"hayes-roth.arff","Same Width","0.6636363636363638","0.06383756816889152","0.6282014612576928","0.03580320899507471"
"hayes-roth.arff","Same Frequency","0.6818181818181819","0.07331269086050739","0.680536045276734","0.022005706145625272"
"hayes-roth.arff","Min. Entropy","0.6739393939393941","0.06260850749986989","0.6697294340646985","0.021043836536678483"
"iris.arff","None","0.8699346405228762","0.04198577902843433","0.8685905594297837","0.008933229456113448"
